,name,party,label,link
53,Chmielowski Piotr,SLD,None,http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=055&type=A
54,Chrapkiewicz Daniela,PiS,None,http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=513&type=A
55,Cichoń Janusz,PO,None,http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=057&type=A
56,Ciemniak Grażyna,PO,None,http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=495&type=A
57,Cieśliński Piotr,PO,None,http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=058&type=A
58,Cycoń Marian,PO,None,http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=059&type=A
59,Czaplicka Barbara,PO,None,http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=060&type=A
60,Czarnecki Przemysław,PiS,None,http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=476&type=A
61,Czarnecki Witold,PiS,None,http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=061&type=A
62,Czartoryski Arkadiusz,PiS,None,http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=062&type=A
63,Czechyra Czesław,PO,None,http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=063&type=A
64,Czerniak Jacek,SLD,None,http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=064&type=A
65,Czernow Zofia,PO,None,http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=065&type=A
66,Czerwiński Andrzej,PO,None,http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=066&type=A
67,Czeszejko-Sochacka Ewa,PO,None,http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=493&type=A
68,Czykwin Eugeniusz,SLD,None,http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=068&type=A
69,Ćwik Piotr Krzysztof,PiS,None,http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=477&type=A
70,Dąbrowska Alicja,PO,None,http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=069&type=A
71,Dąbrowski Andrzej,ZP,None,http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=463&type=A
72,Dera Andrzej,ZP,None,http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=070&type=A
73,Dębski Artur,PSL,None,http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=071&type=A
74,Dobrzyński Leszek,PiS,None,http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=072&type=A
75,Dolata Zbigniew,PiS,None,http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=073&type=A
76,Dołecki Andrzej,RP,None,http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=517&type=A
77,Domaracki Marek,SLD,None,http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=074&type=A
78,Dorn Ludwik,niez.,None,http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=075&type=A
79,Drozd Ewa,PO,None,http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=076&type=A
80,Dunin Artur,PO,None,http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=078&type=A
81,Durka Zenon,PO,None,http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=079&type=A
82,Duszek Marcin,PiS,None,http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=496&type=A
83,Dworczyk Michał,PiS,None,http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=516&type=A
84,Dziadzio Dariusz Cezar,PSL,None,http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=080&type=A
85,Dziedziczak Jan,PiS,None,http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=081&type=A
86,Dzięcioł Janusz,PO,None,http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=082&type=A
87,Dzikowski Waldy,PO,None,http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=083&type=A
88,Dziuba Tadeusz,PiS,None,http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=084&type=A
89,Elsner Wincenty,SLD,członek prezydium klubu,http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=085&type=A
90,Fabisiak Joanna,PO,None,http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=086&type=A
91,Falfus Jacek,PiS,None,http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=087&type=A
92,Fedorowicz Jerzy,PO,None,http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=088&type=A
93,Fiedler Arkady,PO,None,http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=089&type=A
94,Gadowski Krzysztof,PO,None,http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=091&type=A
95,Galla Ryszard,niez.,None,http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=092&type=A
96,Gałażewski Andrzej,PO,None,http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=093&type=A
97,Gapińska Elżbieta,PO,None,http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=094&type=A
98,Garbowski Tomasz,SLD,None,http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=095&type=A
99,Garczewski Romuald,PSL,None,http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=505&type=A
100,Gawłowski Stanisław,PO,None,http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=096&type=A
101,Gądek Lidia,PO,None,http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=097&type=A
102,Gąsior-Marek Magdalena,PO,None,http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=098&type=A
103,Gelert Elżbieta,PO,None,http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=099&type=A
104,Gibała Łukasz,niez.,None,http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=100&type=A
105,Gierada Artur,PO,None,http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=101&type=A
106,Girzyński Zbigniew,niez.,None,http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=102&type=A
107,Giżyński Szymon,PiS,None,http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=103&type=A
108,Gluza Czesław,SLD,None,http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=104&type=A
109,Głogowski Tomasz,PO,None,http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=105&type=A
110,Głuchowski Krzysztof,PiS,None,http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=515&type=A
111,Godson John Abraham,PSL,None,http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=106&type=A
112,Golba Mieczysław,ZP,None,http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=107&type=A
